"","cell.colors"
"SRR5674616","#FF0000FF"
"SRR5674617","#CCFF00FF"
"SRR5674618","#FF0000FF"
"SRR5674619","#CCFF00FF"
"SRR5674620","#00FF66FF"
"SRR5674621","#FF0000FF"
"SRR5674622","#FF0000FF"
"SRR5674623","#0066FFFF"
"SRR5674624","#00FF66FF"
"SRR5674625","#FF0000FF"
"SRR5674607","#FF0000FF"
"SRR5674626","#CCFF00FF"
"SRR5674627","#00FF66FF"
"SRR5674628","#00FF66FF"
"SRR5674629","#00FF66FF"
"SRR5674630","#FF0000FF"
"SRR5674608","#FF0000FF"
"SRR5674609","#FF0000FF"
"SRR5674610","#00FF66FF"
"SRR5674611","#0066FFFF"
"SRR5674612","#0066FFFF"
"SRR5674613","#00FF66FF"
"SRR5674615","#00FF66FF"
"SRR5674640","#FF0000FF"
"SRR5674641","#FF0000FF"
"SRR5674642","#00FF66FF"
"SRR5674643","#FF0000FF"
"SRR5674644","#CCFF00FF"
"SRR5674646","#00FF66FF"
"SRR5674647","#00FF66FF"
"SRR5674648","#00FF66FF"
"SRR5674649","#00FF66FF"
"SRR5674631","#0066FFFF"
"SRR5674650","#FF0000FF"
"SRR5674651","#00FF66FF"
"SRR5674652","#FF0000FF"
"SRR5674653","#CC00FFFF"
"SRR5674654","#FF0000FF"
"SRR5674632","#0066FFFF"
"SRR5674633","#00FF66FF"
"SRR5674634","#FF0000FF"
"SRR5674635","#00FF66FF"
"SRR5674636","#0066FFFF"
"SRR5674637","#00FF66FF"
"SRR5674638","#0066FFFF"
"SRR5674639","#FF0000FF"
"SRR5674664","#00FF66FF"
"SRR5674665","#00FF66FF"
"SRR5674666","#FF0000FF"
"SRR5674667","#00FF66FF"
"SRR5674668","#FF0000FF"
"SRR5674669","#00FF66FF"
"SRR5674670","#0066FFFF"
"SRR5674671","#00FF66FF"
"SRR5674672","#00FF66FF"
"SRR5674673","#CCFF00FF"
"SRR5674655","#00FF66FF"
"SRR5674674","#00FF66FF"
"SRR5674675","#00FF66FF"
"SRR5674676","#FF0000FF"
"SRR5674677","#FF0000FF"
"SRR5674678","#00FF66FF"
"SRR5674656","#CCFF00FF"
"SRR5674657","#00FF66FF"
"SRR5674658","#CC00FFFF"
"SRR5674659","#CCFF00FF"
"SRR5674660","#FF0000FF"
"SRR5674661","#00FF66FF"
"SRR5674662","#00FF66FF"
"SRR5674663","#00FF66FF"
"SRR5674688","#FF0000FF"
"SRR5674689","#00FF66FF"
"SRR5674690","#CC00FFFF"
"SRR5674691","#0066FFFF"
"SRR5674692","#0066FFFF"
"SRR5674693","#FF0000FF"
"SRR5674694","#CC00FFFF"
"SRR5674695","#CCFF00FF"
"SRR5674696","#00FF66FF"
"SRR5674697","#00FF66FF"
"SRR5674679","#CCFF00FF"
"SRR5674698","#0066FFFF"
"SRR5674699","#FF0000FF"
"SRR5674700","#CCFF00FF"
"SRR5674702","#0066FFFF"
"SRR5674680","#CCFF00FF"
"SRR5674681","#FF0000FF"
"SRR5674682","#0066FFFF"
"SRR5674683","#CCFF00FF"
"SRR5674684","#CCFF00FF"
"SRR5674685","#CC00FFFF"
"SRR5674686","#CCFF00FF"
"SRR5674687","#00FF66FF"
"SRR5674712","#CC00FFFF"
"SRR5674713","#00FF66FF"
"SRR5674714","#CCFF00FF"
"SRR5674715","#FF0000FF"
"SRR5674716","#0066FFFF"
"SRR5674717","#00FF66FF"
"SRR5674718","#FF0000FF"
"SRR5674719","#00FF66FF"
"SRR5674720","#FF0000FF"
"SRR5674721","#00FF66FF"
"SRR5674703","#CCFF00FF"
"SRR5674722","#0066FFFF"
"SRR5674723","#00FF66FF"
"SRR5674724","#CC00FFFF"
"SRR5674725","#FF0000FF"
"SRR5674726","#CC00FFFF"
"SRR5674704","#FF0000FF"
"SRR5674705","#FF0000FF"
"SRR5674707","#00FF66FF"
"SRR5674708","#CC00FFFF"
"SRR5674709","#00FF66FF"
"SRR5674710","#CCFF00FF"
"SRR5674711","#0066FFFF"
"SRR5674736","#0066FFFF"
"SRR5674737","#FF0000FF"
"SRR5674738","#FF0000FF"
"SRR5674739","#0066FFFF"
"SRR5674740","#00FF66FF"
"SRR5674741","#CCFF00FF"
"SRR5674742","#FF0000FF"
"SRR5674743","#00FF66FF"
"SRR5674745","#FF0000FF"
"SRR5674746","#00FF66FF"
"SRR5674747","#00FF66FF"
"SRR5674748","#0066FFFF"
"SRR5674749","#0066FFFF"
"SRR5674750","#FF0000FF"
"SRR5674729","#00FF66FF"
"SRR5674730","#CCFF00FF"
"SRR5674731","#CCFF00FF"
"SRR5674733","#0066FFFF"
"SRR5674735","#CCFF00FF"
"SRR5674760","#CC00FFFF"
"SRR5674761","#CC00FFFF"
"SRR5674762","#CCFF00FF"
"SRR5674763","#00FF66FF"
"SRR5674765","#0066FFFF"
"SRR5674766","#00FF66FF"
"SRR5674767","#FF0000FF"
"SRR5674768","#0066FFFF"
"SRR5674769","#00FF66FF"
"SRR5674751","#00FF66FF"
"SRR5674770","#0066FFFF"
"SRR5674771","#CC00FFFF"
"SRR5674772","#0066FFFF"
"SRR5674773","#0066FFFF"
"SRR5674774","#00FF66FF"
"SRR5674752","#FF0000FF"
"SRR5674753","#FF0000FF"
"SRR5674754","#00FF66FF"
"SRR5674755","#0066FFFF"
"SRR5674756","#FF0000FF"
"SRR5674757","#00FF66FF"
"SRR5674758","#CCFF00FF"
"SRR5674759","#00FF66FF"
"SRR5674784","#FF0000FF"
"SRR5674785","#00FF66FF"
"SRR5674786","#FF0000FF"
"SRR5674787","#0066FFFF"
"SRR5674788","#00FF66FF"
"SRR5674789","#CC00FFFF"
"SRR5674790","#CCFF00FF"
"SRR5674791","#FF0000FF"
"SRR5674792","#CC00FFFF"
"SRR5674793","#00FF66FF"
"SRR5674775","#00FF66FF"
"SRR5674794","#00FF66FF"
"SRR5674795","#CCFF00FF"
"SRR5674796","#0066FFFF"
"SRR5674797","#0066FFFF"
"SRR5674798","#0066FFFF"
"SRR5674776","#CCFF00FF"
"SRR5674777","#CC00FFFF"
"SRR5674778","#00FF66FF"
"SRR5674779","#FF0000FF"
"SRR5674780","#FF0000FF"
"SRR5674781","#FF0000FF"
"SRR5674782","#00FF66FF"
"SRR5674783","#0066FFFF"
"SRR5674808","#00FF66FF"
"SRR5674809","#0066FFFF"
"SRR5674810","#0066FFFF"
"SRR5674811","#00FF66FF"
"SRR5674812","#0066FFFF"
"SRR5674813","#FF0000FF"
