sample	spliced_sum	unspliced_sum	ambiguous_sum
SRR5674608	130007	56046	7459
SRR5674607	142530	46969	7388
SRR5674609	142927	66166	7900
SRR5674610	157700	69063	8666
SRR5674611	127630	50558	6413
SRR5674612	91873	37362	4658
SRR5674614	46373	20023	2705
SRR5674613	175174	75334	9305
SRR5674615	52602	26468	3018
SRR5674616	115991	48787	5914
SRR5674617	160052	67556	8797
SRR5674618	119920	47981	6500
SRR5674619	124527	63242	6947
SRR5674620	124380	66496	7095
SRR5674621	148350	65538	8447
SRR5674623	116927	45245	6116
SRR5674622	135979	67945	7548
SRR5674624	83221	38454	4885
SRR5674626	130869	56853	7118
SRR5674625	143183	75500	8037
SRR5674627	127978	59471	7394
SRR5674628	140995	58868	7518
SRR5674629	165850	82822	9840
SRR5674630	157251	62691	8732
SRR5674631	133148	60258	7379
SRR5674632	77286	26016	3864
SRR5674633	132745	59725	7440
SRR5674634	112425	55229	6424
SRR5674635	98131	50619	5960
SRR5674636	95623	33447	4817
SRR5674638	77972	31511	4320
SRR5674637	118406	48330	6389
SRR5674639	125764	52144	6935
SRR5674640	113761	52086	6336
SRR5674641	116567	60842	6982
SRR5674642	116605	70073	7358
SRR5674643	110072	47129	5960
SRR5674644	57439	22670	3115
SRR5674645	45957	23473	2748
SRR5674646	119191	61768	6986
SRR5674647	89158	43253	4843
SRR5674648	80929	39844	4807
SRR5674649	118439	58825	7245
SRR5674650	78095	36086	4418
SRR5674651	115967	55847	6472
SRR5674653	98230	39060	5563
SRR5674652	119094	56148	7011
SRR5674654	152175	69356	8722
SRR5674655	143653	65801	8040
SRR5674656	122018	60081	6852
SRR5674657	162277	71647	8997
SRR5674658	128716	56036	6990
SRR5674659	143234	57183	7490
SRR5674660	130826	61337	7912
SRR5674661	163755	73372	9863
SRR5674662	138220	64375	8273
SRR5674663	122630	59500	7560
SRR5674664	137113	71436	7954
SRR5674665	161673	75795	8589
SRR5674666	143218	61758	8115
SRR5674667	142416	66480	8204
SRR5674668	139950	67500	7652
SRR5674669	144901	69880	8804
SRR5674670	148005	69719	7906
SRR5674671	93063	51409	5298
SRR5674672	103641	57261	6488
SRR5674673	136641	64920	7927
SRR5674674	92541	49547	5877
SRR5674675	130209	58914	7445
SRR5674676	140568	63617	7648
SRR5674677	163576	71472	8880
SRR5674678	172664	78908	9921
SRR5674680	97575	40672	5240
SRR5674679	162114	63064	8590
SRR5674681	136771	64400	7766
SRR5674682	122334	46005	6503
SRR5674683	141096	66754	7949
SRR5674684	106408	47562	6007
SRR5674685	96479	51962	5608
SRR5674686	122211	58260	7032
SRR5674687	149818	62040	8634
SRR5674688	141736	65308	8340
SRR5674689	146269	74119	8503
SRR5674690	158154	66758	8950
SRR5674691	141417	54567	7411
